id,loss
4,1565.6124
6,2212.9646
9,5773.758
12,5982.7993
15,794.44617
17,2256.5254
21,2653.7778
28,813.77234
32,1767.9758
43,3400.519
46,1612.932
50,1079.9548
54,1294.3024
62,2159.8777
70,2289.8635
71,4597.9805
75,1679.4703
77,1932.067
81,1769.531
83,2341.5242
87,1661.1478
97,1676.8081
103,1257.969
119,1401.524
120,2286.44
127,1052.9882
138,4707.234
141,2934.439
148,1298.1797
150,1951.7168
151,2152.1968
158,1695.7925
160,4683.9126
165,1861.1747
168,2999.7915
169,3722.8694
177,2576.7847
178,3194.7417
184,1264.0305
194,14181.754
198,2026.7739
203,4978.3774
211,2260.7527
217,876.00726
219,1262.3446
221,3159.1484
227,1871.6095
230,2383.6682
235,2156.166
240,782.6774
243,2466.6223
249,5809.217
253,2792.2427
258,1273.2649
261,1585.8435
263,2916.0588
264,2167.5703
265,4091.526
268,1874.0948
271,1175.5864
274,4322.9883
275,798.8938
279,1646.0372
282,1778.9286
286,3158.1
288,1316.5818
294,1865.0508
296,1204.8065
297,1364.445
300,954.7807
303,6493.2144
314,964.26996
315,4814.453
321,2889.3923
323,4015.1907
330,3635.509
341,1476.6152
342,2461.354
352,1604.9967
353,3841.5662
360,4589.342
361,1664.4352
362,4945.6504
366,1295.294
372,3322.817
376,2876.9065
377,2925.415
379,1164.5023
380,5728.4766
387,2131.3486
392,1944.4489
394,6073.967
395,1395.3147
397,1443.1243
407,4168.2393
411,8544.788
416,3295.1858
417,1242.5682
419,3958.5996
428,4591.806
431,2033.909
436,6141.604
438,1442.1832
445,7179.7354
446,5968.0625
455,1299.7678
456,1280.1808
461,1056.5894
463,2213.904
464,4466.4717
466,1657.6102
467,1309.4019
470,1241.614
475,1481.3163
482,3878.74
490,3101.7905
496,1941.2916
497,3306.963
508,3363.839
510,1629.312
512,1426.0387
513,4971.555
523,2037.4093
531,5446.3516
532,2429.2798
533,1544.6147
537,1208.0913
544,4612.245
547,3196.4668
556,7599.1377
565,1399.0796
566,1618.0895
571,1133.1237
573,1493.106
574,945.54846
581,1432.462
585,2327.256
589,2237.9114
597,1843.5297
601,2773.6511
602,1526.3857
613,1394.4208
616,1469.6183
619,1904.2866
622,1892.969
623,2427.6309
629,1343.2521
634,1611.1556
638,1097.7009
642,1331.5106
643,2190.646
645,942.69604
648,5111.331
652,1235.6729
664,1061.5217
666,2314.2026
672,860.8471
676,2498.9492
678,7050.9863
682,1977.4442
686,2631.3186
688,2333.3098
689,1267.8202
690,1913.2672
692,10333.772
695,1903.484
697,3722.1594
698,2363.8228
706,2043.2858
708,1568.3749
712,2010.2584
715,3405.991
717,1160.4696
725,2886.6697
729,1170.0856
737,1467.1467
739,3410.5286
747,3531.3735
753,2200.8354
758,2782.9607
759,1899.3678
763,1459.2563
773,4225.4165
774,1759.584
776,1060.2465
788,3347.256
790,1868.746
794,1053.9421
801,2587.9531
802,1091.5424
805,1844.1179
809,5077.1533
812,1587.3807
825,3038.5117
828,2559.2861
830,1548.8246
833,1543.3962
850,5831.186
852,4730.717
862,1620.3076
863,1111.6528
864,1270.6757
865,3402.355
868,6333.968
872,1445.9733
879,4698.7393
880,1541.2576
883,1649.7941
886,1635.7911
923,1801.9806
924,1664.3082
932,1427.3945
945,5784.0254
947,6527.879
948,1403.8818
955,3158.4075
963,3785.725
979,1343.1516
989,1347.58
994,2901.1548
995,1881.6945
998,1725.1235
1000,4146.6626
1018,1550.1478
1019,1575.7706
1028,2171.7449
1034,1294.4839
1038,1358.2042
1040,1618.865
1042,1420.8435
1057,7484.892
1058,1605.4882
1063,1024.6423
1066,3266.1516
1071,4910.735
1073,3981.9082
1074,2416.9524
1077,1767.3756
1080,6711.6665
1088,873.62537
1096,743.79706
1097,11491.702
1105,4514.96
1115,1982.553
1116,3523.4917
1122,1183.2151
1130,4871.697
1133,1823.7799
1137,2656.8723
1140,1912.8322
1143,6709.958
1149,4915.35
1150,908.091
1153,992.289
1157,1528.6422
1180,586.003
1183,1084.9801
1188,1805.2563
1193,1244.2745
1200,778.10675
1209,3169.9043
1214,1816.201
1219,1868.2764
1223,5508.98
1227,970.6329
1228,1451.5316
1229,3972.1912
1233,1541.159
1238,3972.6306
1239,1605.9652
1241,3061.5137
1243,1801.0339
1244,1147.829
1245,3863.0654
1277,4994.127
1279,3736.3818
1292,10733.686
1293,2259.5251
1299,6723.82
1304,2815.7786
1313,4650.929
1328,2302.3057
1330,1052.2102
1334,1845.7058
1335,1498.6061
1336,3006.5679
1341,1211.8011
1344,1025.4136
1351,840.9778
1352,2777.3809
1354,1458.4452
1368,5268.54
1373,1262.2386
1375,584.14996
1381,1215.3264
1384,2580.7317
1385,3316.4094
1388,6264.917
1401,4902.093
1402,2598.0388
1404,1602.9095
1406,1683.1631
1409,1060.5352
1422,1585.9448
1429,2763.054
1433,6346.938
1438,1160.0398
1444,1230.7445
1446,1410.4232
1450,1091.1245
1451,729.4166
1454,2062.1147
1458,2477.1729
1461,3123.2068
1464,5935.188
1465,1102.9161
1478,1615.5623
1479,1511.1212
1480,4068.5225
1484,1752.0823
1486,1117.5294
1488,994.26355
1489,2611.0767
1491,1029.8423
1507,2518.4573
1515,1954.4343
1519,1821.7244
1528,2008.391
1529,1120.4752
1530,3139.7695
1532,904.0876
1541,1398.748
1542,3232.8752
1547,1514.9746
1549,927.81146
1553,2033.9712
1554,2019.0408
1555,1406.8499
1559,1351.1587
1565,1391.9196
1568,1164.3701
1576,2933.0693
1579,903.2938
1592,941.18286
1596,3829.0571
1605,1019.2698
1607,1530.273
1612,2136.4587
1617,2766.281
1619,2150.5852
1620,5467.8086
1624,2358.549
1627,1102.2101
1633,2028.7687
1636,1190.3296
1639,1196.5227
1640,4159.634
1644,1280.0848
1646,1566.8895
1647,3373.8308
1654,1536.4279
1655,3806.3381
1664,4592.551
1665,1614.4532
1667,4153.3984
1669,1304.1241
1678,2451.543
1682,1589.5441
1689,1136.4027
1690,2671.3682
1693,5347.3037
1695,848.37427
1705,2435.4697
1706,2079.0664
1708,2526.133
1716,1773.1207
1720,5367.173
1722,1213.743
1749,4047.3306
1750,2175.2324
1751,5800.265
1760,2909.2505
1763,3753.0845
1770,1437.0266
1777,2125.056
1785,4825.108
1791,1040.0796
1794,5779.0576
1800,1207.1792
1816,1471.1776
1817,1434.5167
1821,4215.427
1836,1268.5181
1838,1603.7452
1851,2105.1692
1852,2997.9097
1854,2008.1583
1856,785.9435
1865,920.0597
1872,1404.7946
1878,985.2935
1880,1042.6766
1881,1357.9536
1882,1808.9583
1886,951.70026
1892,1690.2521
1894,2870.2554
1898,3304.047
1899,3867.323
1902,1215.3131
1903,4718.344
1906,1503.7148
1910,2358.503
1911,1813.08
1914,3627.0522
1929,2982.9287
1932,1446.4304
1952,1066.6311
1959,1394.8956
1960,1788.4844
1976,4015.114
1980,2939.3235
1981,1856.7488
1987,2125.079
1994,1418.1936
2000,1802.2693
2008,2507.9414
2011,2167.2593
2012,5180.709
2019,2113.074
2022,2076.5596
2024,6509.8745
2028,966.53064
2030,3247.7205
2031,6795.057
2047,1722.8037
2049,1338.2239
2050,1410.2241
2051,2960.1318
2056,1589.5304
2057,896.63794
2059,1577.3915
2069,3017.1697
2085,2725.05
2089,1049.154
2090,1575.8254
2101,3484.9136
2114,2858.5623
2115,1556.1193
2118,1187.2946
2119,2321.258
2125,1273.2194
2128,2936.7444
2129,1475.9071
2132,1942.6038
2133,2683.8743
2135,761.4589
2136,1617.9097
2143,1221.6619
2144,1536.9496
2145,2867.5276
2152,1759.8416
2160,4291.188
2166,1842.9381
2169,950.6997
2170,2062.3232
2172,2030.8942
2181,1541.0327
2183,1708.2112
2185,4218.8374
2188,2543.638
2189,2102.9558
2194,3613.9353
2202,1788.7736
2208,2521.5852
2227,1303.7517
2230,5367.188
2235,3603.3184
2236,1602.2279
2244,7816.7827
2248,944.603
2252,1381.6567
2254,1743.351
2260,6206.596
2263,1824.4202
2274,1322.6344
2277,1282.5197
2279,3688.934
2280,12533.6045
2283,2282.8796
2284,1084.5255
2288,3542.9812
2292,1881.1866
2295,5539.251
2296,1304.888
2299,2732.7144
2315,5036.893
2318,1479.8894
2329,7048.4585
2337,1700.146
2340,806.0427
2342,1669.8544
2347,2220.3308
2349,5579.923
2354,1424.8574
2361,1845.9364
2370,1541.3406
2378,3234.229
2382,3001.8062
2387,921.9622
2389,2037.5823
2394,1468.5424
2396,1598.9644
2400,3053.3843
2407,3324.6365
2414,1029.1752
2415,1858.3696
2421,1960.88
2427,1604.7518
2428,3074.7656
2430,2549.8274
2435,1781.3257
2445,5460.284
2446,2190.0652
2447,1493.4897
2449,2206.1375
2451,1899.6304
2458,6448.308
2462,11129.114
2463,3696.1108
2467,2136.961
2471,6148.179
2475,2188.204
2478,3569.5842
2483,3138.3684
2485,1530.7911
2487,1142.0469
2494,714.5176
2497,1793.2974
2499,1204.7898
2503,1554.4646
2513,2341.0073
2515,1545.9233
2522,1519.5151
2523,1554.7567
2528,4170.6167
2532,3988.6736
2536,1168.5344
2538,1196.2739
2539,820.2206
2540,2549.92
2545,4980.087
2548,1009.2099
2549,1044.4889
2553,1765.9393
2563,1701.8485
2566,3174.445
2574,1390.0001
2575,2733.658
2584,2090.1028
2588,2561.992
2589,909.30255
2592,1455.8757
2596,1371.4708
2598,1676.6746
2602,1017.82825
2603,2268.0928
2607,2145.9746
2609,1419.1637
2611,4621.368
2627,1232.688
2628,1915.1302
2630,2200.0413
2633,1423.9581
2636,5244.903
2640,890.08545
2641,1254.6699
2657,3513.519
2659,1245.4873
2662,1130.7914
2663,1761.5148
2667,2067.7085
2670,1030.3561
2682,1913.6797
2694,2908.9163
2699,3911.1748
2700,2216.8418
2703,4113.106
2708,1915.07
2714,990.06433
2725,1248.6234
2726,1318.078
2727,1248.3097
2732,2555.5776
2733,6353.539
2736,5636.2773
2745,2224.0872
2760,1227.4531
2764,1658.672
2765,6699.3374
2766,604.08026
2775,2431.3206
2783,1480.3623
2784,1083.949
2786,2084.4902
2801,1151.0046
2803,2182.5103
2813,7019.0244
2815,7959.887
2816,2339.2095
2818,2029.0066
2819,4099.232
2822,1328.0212
2825,1838.7915
2826,1723.0173
2830,1598.5398
2834,1248.911
2835,5170.0825
2856,2787.504
2873,4473.7617
2886,5950.462
2892,2115.5127
2896,885.2901
2897,1171.3807
2899,1779.4105
2901,1099.1213
2909,5468.257
2914,2718.0151
2915,1054.8999
2916,2763.0803
2919,800.64154
2926,1959.0352
2927,2423.682
2933,1458.3062
2934,2382.8977
2941,1860.8667
2942,2233.8398
2946,4163.5312
2949,1333.6577
2952,1878.9634
2957,5719.033
2962,1504.8123
2963,947.164
2965,1917.2445
2966,3684.3845
2971,1406.8625
2975,729.58746
2979,1343.9504
2985,8277.983
2995,1846.9445
2996,1313.3425
3001,4719.1636
3007,3063.8152
3008,936.47876
3014,2817.1538
3017,10374.267
3021,1551.2045
3025,2381.397
3026,1197.7317
3034,2251.7454
3035,2911.1907
3044,3000.1633
3046,2371.5361
3047,5263.212
3057,2671.897
3059,5303.9707
3063,3750.537
3065,1211.856
3067,3401.745
3069,1527.3701
3076,3325.594
3086,1324.1729
3088,2896.4373
3090,1898.1346
3096,2451.5454
3100,1078.2542
3102,1563.7278
3103,2915.493
3107,1091.8651
3118,1254.4073
3120,4598.204
3123,2039.9154
3128,1355.355
3132,2243.447
3140,1506.4678
3152,2026.0946
3165,4950.0103
3183,1365.5476
3190,1140.305
3197,1598.9277
3201,1250.4431
3203,1720.0498
3214,2953.094
3219,2271.0754
3220,1376.8832
3221,3301.7412
3229,1179.3438
3234,1293.9254
3235,4237.1875
3240,1917.7438
3241,1551.2644
3249,1700.506
3254,1109.562
3264,3153.7422
3266,2146.6726
3270,882.13934
3282,1929.6392
3285,1348.1835
3289,1434.0981
3291,1636.3856
3295,1738.3223
3299,961.23956
3302,1155.7222
3303,6363.563
3308,3214.742
3309,3289.117
3324,2261.5322
3327,5272.35
3330,4044.3442
3335,1123.618
3339,2418.908
3340,2417.4849
3343,1741.8462
3350,2533.082
3353,1575.1704
3356,8470.929
3361,2271.2346
3368,1061.7646
3376,1582.7318
3381,1062.6313
3383,2534.1113
3397,2251.068
3403,1836.3783
3405,1769.4863
3410,1122.342
3412,2550.6484
3416,3392.8386
3417,1493.0077
3423,2703.8926
3427,6151.622
3435,2523.499
3439,1159.5459
3441,3493.692
3450,1168.6387
3453,1120.5453
3454,1231.8818
3458,11713.238
3459,1455.315
3467,3091.6196
3469,3198.9001
3477,1007.4684
3478,7665.1396
3482,1011.7748
3484,6194.22
3506,2770.6255
3515,6182.393
3522,4042.609
3523,1618.5679
3526,1242.6606
3532,1521.4235
3534,1876.9253
3537,1445.02
3539,1064.6671
3542,4225.6743
3545,1552.7919
3552,2004.4617
3554,1444.8746
3573,2281.2441
3576,1106.7867
3577,2277.2686
3580,1650.6628
3583,1248.6598
3584,1981.6333
3609,1203.1663
3613,4812.718
3623,2276.3728
3624,3377.8164
3638,8291.589
3642,1962.4065
3643,2054.8494
3647,1309.1078
3653,1075.845
3654,3635.887
3656,1708.9445
3658,829.6821
3659,3594.2852
3663,3841.643
3664,3065.3818
3666,968.0864
3681,1422.3043
3689,2100.092
3694,3441.0364
3695,1865.1396
3699,1359.9015
3701,2423.0002
3704,3706.9834
3721,1026.4149
3726,2897.733
3727,4524.8223
3729,2217.8652
3731,3422.7996
3738,1323.9841
3740,3563.5027
3744,1660.3892
3757,1175.8645
3758,1133.7366
3778,1859.8085
3781,3189.1956
3790,7041.3906
3796,1580.47
3798,7181.413
3804,1103.7279
3813,1154.6029
3814,1124.1154
3815,2089.5854
3818,2089.2388
3823,2406.7354
3826,7428.3374
3831,1484.0212
3834,3074.7568
3835,3215.711
3849,2295.2903
3850,2983.99
3855,2343.1348
3864,2275.6436
3867,1828.1002
3871,1387.0452
3879,1947.4775
3880,2689.6252
3882,3204.598
3884,7915.346
3893,1839.7378
3895,1656.6438
3901,2493.2026
3903,1115.9739
3913,1406.6324
3921,1744.6599
3929,2410.4417
3947,901.08435
3962,1717.5485
3963,750.1396
3966,1916.2958
3975,2132.108
3976,8589.921
3977,2258.477
3978,1165.5612
3979,897.5581
3983,1811.8606
3985,865.8378
3989,7787.0283
3992,1857.4536
3995,2044.6014
4008,2256.8074
4013,1924.8282
4029,1547.2781
4035,2843.4587
4040,2699.224
4048,895.4497
4060,2223.75
4066,1051.4594
4075,1031.7617
4079,2008.3997
4083,1296.7048
4091,1645.1757
4092,7741.461
4093,2271.8477
4098,3554.2776
4108,1359.8107
4109,906.22107
4110,3501.357
4116,1823.46
4129,1595.7607
